cons,old,new
CZE_C17_18,819,8
CZE_C19,820,8
CZE_C20,821,8
CZE_C21,822,8
CZE_C22,823,8
CZE_C23,824,8
CZE_C24,825,8
CZE_C25,826,8
CZE_C26,827,8
CZE_C27,828,8
CZE_C28,829,8
CZE_C29,830,8
CZE_C30,831,8
CZE_C31T33,832,8
CZE_D,833,9
CZE_E,834,9
CZE_F,835,9
CZE_G,836,9
CZE_H49,837,9
CZE_H50,838,9
CZE_H51,839,9
CZE_H52,840,9
CZE_H53,841,9
CZE_I,842,9
CZE_J58T60,843,9
CZE_J61,844,9
CZE_J62_63,845,9
CZE_K,846,9
CZE_L,847,9
CZE_M,848,9
CZE_N,849,9
CZE_O,850,9
CZE_P,851,9
CZE_Q,852,9
CZE_R,853,9
CZE_S,854,9
CZE_T,855,9
DEU_A01_02,856,7
DEU_A03,857,7
DEU_B05_06,858,8
DEU_B07_08,859,8
DEU_B09,860,8
DEU_C10T12,861,8
DEU_C13T15,862,8
DEU_C16,863,8
DEU_C17_18,864,8
DEU_C19,865,8
DEU_C20,866,8
DEU_C21,867,8
DEU_C22,868,8
DEU_C23,869,8
DEU_C24,870,8
DEU_C25,871,8
DEU_C26,872,8
DEU_C27,873,8
DEU_C28,874,8
DEU_C29,875,8
DEU_C30,876,8
DEU_C31T33,877,8
DEU_D,878,9
DEU_E,879,9
DEU_F,880,9
DEU_G,881,9
DEU_H49,882,9
DEU_H50,883,9
DEU_H51,884,9
DEU_H52,885,9
DEU_H53,886,9
DEU_I,887,9
DEU_J58T60,888,9
DEU_J61,889,9
DEU_J62_63,890,9
DEU_K,891,9
DEU_L,892,9
DEU_M,893,9
DEU_N,894,9
DEU_O,895,9
DEU_P,896,9
DEU_Q,897,9
DEU_R,898,9
DEU_S,899,9
DEU_T,900,9
DNK_A01_02,901,7
DNK_A03,902,7
DNK_B05_06,903,8
DNK_B07_08,904,8
DNK_B09,905,8
DNK_C10T12,906,8
DNK_C13T15,907,8
DNK_C16,908,8
DNK_C17_18,909,8
DNK_C19,910,8
DNK_C20,911,8
DNK_C21,912,8
DNK_C22,913,8
DNK_C23,914,8
DNK_C24,915,8
